P,Q,ICO,A4,D10,D6
3,22,FALSE,FALSE,FALSE,TRUE
3,23,FALSE,FALSE,FALSE,TRUE
3,24,FALSE,FALSE,FALSE,FALSE
3,25,FALSE,FALSE,FALSE,TRUE
3,26,FALSE,FALSE,FALSE,TRUE
3,27,FALSE,FALSE,FALSE,TRUE
3,28,FALSE,FALSE,FALSE,TRUE
3,29,FALSE,FALSE,FALSE,TRUE
3,30,FALSE,FALSE,FALSE,TRUE
3,31,FALSE,FALSE,TRUE,TRUE
3,32,FALSE,FALSE,FALSE,TRUE
3,33,FALSE,FALSE,TRUE,TRUE
3,34,FALSE,FALSE,FALSE,TRUE
3,35,FALSE,FALSE,TRUE,TRUE
3,36,FALSE,FALSE,FALSE,TRUE
3,37,FALSE,FALSE,FALSE,TRUE
3,38,FALSE,FALSE,FALSE,TRUE
3,39,FALSE,FALSE,FALSE,TRUE
3,40,FALSE,FALSE,FALSE,TRUE
3,41,FALSE,FALSE,FALSE,TRUE
3,42,FALSE,FALSE,FALSE,TRUE
3,43,FALSE,FALSE,FALSE,TRUE
3,44,FALSE,FALSE,FALSE,TRUE
3,45,FALSE,FALSE,FALSE,TRUE
3,46,FALSE,FALSE,FALSE,TRUE
3,47,FALSE,FALSE,FALSE,TRUE
3,48,FALSE,FALSE,FALSE,TRUE
3,49,FALSE,FALSE,FALSE,TRUE
3,50,FALSE,FALSE,FALSE,TRUE
3,51,FALSE,FALSE,FALSE,TRUE
3,52,FALSE,FALSE,FALSE,TRUE
3,53,FALSE,FALSE,FALSE,TRUE
3,54,FALSE,FALSE,FALSE,TRUE
3,55,FALSE,FALSE,FALSE,TRUE
4,1,FALSE,FALSE,TRUE,TRUE
4,2,FALSE,FALSE,TRUE,TRUE
4,3,FALSE,FALSE,TRUE,TRUE
4,4,TRUE,TRUE,TRUE,TRUE
4,5,FALSE,TRUE,TRUE,TRUE
4,6,FALSE,FALSE,TRUE,TRUE
4,7,FALSE,FALSE,TRUE,TRUE
4,8,FALSE,FALSE,TRUE,TRUE
4,9,FALSE,FALSE,TRUE,TRUE
4,10,FALSE,FALSE,TRUE,TRUE
4,11,FALSE,FALSE,TRUE,TRUE
4,12,FALSE,FALSE,TRUE,TRUE
4,13,FALSE,FALSE,TRUE,TRUE
4,14,FALSE,FALSE,FALSE,TRUE
4,15,FALSE,FALSE,FALSE,TRUE
4,16,FALSE,FALSE,FALSE,TRUE
4,17,FALSE,FALSE,TRUE,TRUE
4,18,FALSE,FALSE,FALSE,TRUE
4,19,FALSE,TRUE,TRUE,TRUE
4,20,FALSE,TRUE,TRUE,TRUE
4,21,FALSE,FALSE,FALSE,TRUE
4,22,FALSE,FALSE,FALSE,TRUE
4,23,FALSE,FALSE,TRUE,TRUE
4,24,FALSE,FALSE,FALSE,TRUE
4,25,FALSE,FALSE,TRUE,TRUE
4,26,FALSE,FALSE,FALSE,TRUE
4,27,FALSE,FALSE,FALSE,TRUE
4,28,FALSE,FALSE,TRUE,TRUE
4,29,FALSE,FALSE,TRUE,TRUE
4,30,FALSE,FALSE,FALSE,TRUE
4,31,FALSE,FALSE,FALSE,TRUE
4,32,FALSE,FALSE,FALSE,TRUE
4,33,FALSE,FALSE,FALSE,TRUE
4,34,FALSE,FALSE,TRUE,TRUE
4,35,FALSE,FALSE,FALSE,TRUE
4,36,FALSE,FALSE,TRUE,TRUE
4,37,FALSE,FALSE,FALSE,TRUE
4,38,FALSE,FALSE,TRUE,TRUE
4,39,FALSE,FALSE,FALSE,TRUE
4,40,FALSE,FALSE,FALSE,TRUE
4,41,FALSE,FALSE,FALSE,TRUE
4,42,FALSE,FALSE,FALSE,TRUE
4,43,FALSE,FALSE,TRUE,TRUE
4,44,FALSE,FALSE,TRUE,TRUE
4,45,FALSE,FALSE,FALSE,TRUE
4,46,FALSE,FALSE,TRUE,TRUE
4,47,FALSE,FALSE,FALSE,TRUE
4,48,FALSE,FALSE,FALSE,TRUE
4,49,FALSE,FALSE,FALSE,TRUE
4,50,FALSE,FALSE,FALSE,TRUE
4,51,FALSE,FALSE,TRUE,TRUE
4,52,FALSE,FALSE,TRUE,TRUE
4,53,FALSE,FALSE,FALSE,TRUE
4,54,FALSE,FALSE,FALSE,TRUE
4,55,FALSE,FALSE,FALSE,TRUE
5,1,FALSE,FALSE,TRUE,TRUE
5,2,FALSE,FALSE,TRUE,TRUE
5,3,FALSE,FALSE,TRUE,TRUE
5,4,FALSE,TRUE,TRUE,TRUE
5,5,TRUE,TRUE,TRUE,TRUE
5,6,FALSE,FALSE,TRUE,TRUE
5,7,FALSE,FALSE,TRUE,TRUE
5,8,FALSE,FALSE,TRUE,TRUE
5,9,FALSE,FALSE,TRUE,TRUE
5,10,FALSE,FALSE,TRUE,TRUE
5,11,FALSE,FALSE,TRUE,TRUE
5,12,FALSE,FALSE,TRUE,TRUE
5,13,FALSE,FALSE,TRUE,TRUE
5,14,FALSE,FALSE,FALSE,TRUE
5,15,FALSE,FALSE,FALSE,TRUE
5,16,FALSE,FALSE,FALSE,TRUE
5,17,FALSE,TRUE,TRUE,TRUE
5,18,FALSE,FALSE,FALSE,TRUE
5,19,FALSE,TRUE,TRUE,TRUE
5,20,FALSE,FALSE,TRUE,TRUE
5,21,FALSE,FALSE,FALSE,TRUE
5,22,FALSE,FALSE,FALSE,TRUE
5,23,FALSE,FALSE,TRUE,TRUE
5,24,FALSE,FALSE,FALSE,TRUE
5,25,FALSE,FALSE,TRUE,TRUE
5,26,FALSE,FALSE,FALSE,TRUE
5,27,FALSE,FALSE,FALSE,TRUE
5,28,FALSE,FALSE,TRUE,TRUE
5,29,FALSE,FALSE,TRUE,TRUE
5,30,FALSE,FALSE,FALSE,TRUE
5,31,FALSE,FALSE,FALSE,TRUE
5,32,FALSE,FALSE,FALSE,TRUE
5,33,FALSE,FALSE,FALSE,TRUE
5,34,FALSE,FALSE,TRUE,TRUE
5,35,FALSE,FALSE,FALSE,TRUE
5,36,FALSE,FALSE,TRUE,TRUE
5,37,FALSE,FALSE,FALSE,TRUE
5,38,FALSE,FALSE,TRUE,TRUE
5,39,FALSE,FALSE,FALSE,TRUE
5,40,FALSE,FALSE,FALSE,TRUE
5,41,FALSE,FALSE,FALSE,TRUE
5,42,FALSE,FALSE,FALSE,TRUE
5,43,FALSE,FALSE,TRUE,TRUE
5,44,FALSE,FALSE,TRUE,TRUE
5,45,FALSE,FALSE,FALSE,TRUE
5,46,FALSE,FALSE,TRUE,TRUE
5,47,FALSE,FALSE,FALSE,TRUE
5,48,FALSE,FALSE,FALSE,TRUE
5,49,FALSE,FALSE,FALSE,TRUE
5,50,FALSE,FALSE,FALSE,TRUE
5,51,FALSE,FALSE,TRUE,TRUE
5,52,FALSE,FALSE,TRUE,TRUE
5,53,FALSE,FALSE,FALSE,TRUE
5,54,FALSE,FALSE,FALSE,TRUE
5,55,FALSE,FALSE,FALSE,TRUE
6,1,FALSE,FALSE,TRUE,TRUE
6,2,FALSE,TRUE,TRUE,TRUE
6,3,FALSE,FALSE,TRUE,TRUE
6,4,FALSE,FALSE,TRUE,TRUE
6,5,FALSE,FALSE,TRUE,TRUE
6,6,TRUE,TRUE,TRUE,TRUE
6,7,FALSE,FALSE,TRUE,TRUE
6,8,FALSE,FALSE,TRUE,TRUE
6,9,FALSE,FALSE,TRUE,TRUE
6,10,FALSE,FALSE,TRUE,TRUE
6,11,FALSE,FALSE,TRUE,TRUE
6,12,FALSE,FALSE,TRUE,TRUE
6,13,FALSE,FALSE,TRUE,TRUE
6,14,FALSE,FALSE,FALSE,TRUE
6,15,FALSE,FALSE,FALSE,TRUE
6,16,FALSE,FALSE,FALSE,TRUE
6,17,FALSE,TRUE,FALSE,TRUE
6,18,FALSE,FALSE,FALSE,TRUE
6,19,FALSE,TRUE,TRUE,TRUE
6,20,FALSE,FALSE,TRUE,TRUE
6,21,FALSE,FALSE,TRUE,TRUE
6,22,FALSE,FALSE,FALSE,TRUE
6,23,FALSE,FALSE,FALSE,TRUE
6,24,FALSE,FALSE,TRUE,TRUE
6,25,FALSE,FALSE,TRUE,TRUE
6,26,FALSE,FALSE,TRUE,TRUE
6,27,FALSE,FALSE,FALSE,TRUE
6,28,FALSE,FALSE,FALSE,TRUE
6,29,FALSE,FALSE,TRUE,TRUE
6,30,FALSE,FALSE,TRUE,TRUE
6,31,FALSE,FALSE,FALSE,TRUE
6,32,FALSE,FALSE,FALSE,TRUE
6,33,FALSE,FALSE,FALSE,TRUE
6,34,FALSE,FALSE,FALSE,TRUE
6,35,FALSE,FALSE,FALSE,TRUE
6,36,FALSE,FALSE,TRUE,TRUE
6,37,FALSE,FALSE,FALSE,TRUE
6,38,FALSE,FALSE,TRUE,TRUE
6,39,FALSE,FALSE,FALSE,TRUE
6,40,FALSE,FALSE,TRUE,TRUE
6,41,FALSE,FALSE,FALSE,TRUE
6,42,FALSE,FALSE,FALSE,TRUE
6,43,FALSE,FALSE,FALSE,TRUE
6,44,FALSE,FALSE,TRUE,TRUE
6,45,FALSE,FALSE,FALSE,TRUE
6,46,FALSE,FALSE,TRUE,TRUE
6,47,FALSE,FALSE,FALSE,TRUE
6,48,FALSE,FALSE,TRUE,TRUE
6,49,FALSE,FALSE,FALSE,TRUE
6,50,FALSE,FALSE,FALSE,TRUE
6,51,FALSE,FALSE,FALSE,TRUE
6,52,FALSE,FALSE,FALSE,TRUE
6,53,FALSE,FALSE,FALSE,TRUE
6,54,FALSE,FALSE,TRUE,TRUE
6,55,FALSE,FALSE,FALSE,TRUE
7,1,FALSE,FALSE,TRUE,TRUE
7,2,FALSE,FALSE,TRUE,TRUE
7,3,FALSE,FALSE,TRUE,TRUE
7,4,FALSE,FALSE,TRUE,TRUE
7,5,FALSE,FALSE,TRUE,TRUE
7,6,FALSE,FALSE,TRUE,TRUE
7,7,TRUE,TRUE,TRUE,TRUE
7,8,FALSE,FALSE,TRUE,TRUE
7,9,FALSE,FALSE,TRUE,TRUE
7,10,FALSE,TRUE,TRUE,TRUE
7,11,FALSE,FALSE,TRUE,TRUE
7,12,FALSE,FALSE,TRUE,TRUE
7,13,FALSE,FALSE,TRUE,TRUE
7,14,FALSE,FALSE,FALSE,TRUE
7,15,FALSE,FALSE,TRUE,TRUE
7,16,FALSE,FALSE,FALSE,TRUE
7,17,FALSE,FALSE,TRUE,TRUE
7,18,FALSE,FALSE,FALSE,TRUE
7,19,FALSE,FALSE,TRUE,TRUE
7,20,FALSE,FALSE,FALSE,TRUE
7,21,FALSE,FALSE,FALSE,TRUE
7,22,FALSE,FALSE,TRUE,TRUE
7,23,FALSE,FALSE,TRUE,TRUE
7,24,FALSE,TRUE,TRUE,TRUE
7,25,FALSE,FALSE,FALSE,TRUE
7,26,FALSE,FALSE,FALSE,TRUE
7,27,FALSE,FALSE,TRUE,TRUE
7,28,FALSE,FALSE,TRUE,TRUE
7,29,FALSE,FALSE,FALSE,TRUE
7,30,FALSE,TRUE,FALSE,TRUE
7,31,FALSE,FALSE,FALSE,TRUE
7,32,FALSE,FALSE,TRUE,TRUE
7,33,FALSE,FALSE,FALSE,TRUE
7,34,FALSE,FALSE,TRUE,TRUE
7,35,FALSE,FALSE,FALSE,TRUE
7,36,FALSE,FALSE,TRUE,TRUE
7,37,FALSE,FALSE,FALSE,TRUE
7,38,FALSE,FALSE,FALSE,TRUE
7,39,FALSE,FALSE,FALSE,TRUE
7,40,FALSE,FALSE,FALSE,TRUE
7,41,FALSE,FALSE,FALSE,TRUE
7,42,FALSE,FALSE,TRUE,TRUE
7,43,FALSE,FALSE,TRUE,TRUE
7,44,FALSE,FALSE,TRUE,TRUE
7,45,FALSE,FALSE,FALSE,TRUE
7,46,FALSE,FALSE,FALSE,TRUE
7,47,FALSE,FALSE,FALSE,TRUE
7,48,FALSE,FALSE,FALSE,TRUE
7,49,FALSE,FALSE,FALSE,TRUE
7,50,FALSE,FALSE,TRUE,TRUE
7,51,FALSE,FALSE,FALSE,TRUE
7,52,FALSE,FALSE,FALSE,TRUE
7,53,FALSE,FALSE,FALSE,TRUE
7,54,FALSE,FALSE,FALSE,TRUE
7,55,FALSE,FALSE,FALSE,TRUE
8,1,FALSE,FALSE,TRUE,TRUE
8,2,FALSE,FALSE,TRUE,TRUE
8,3,FALSE,FALSE,TRUE,TRUE
8,4,FALSE,FALSE,TRUE,TRUE
8,5,FALSE,FALSE,TRUE,TRUE
8,6,FALSE,FALSE,TRUE,TRUE
8,7,FALSE,FALSE,TRUE,TRUE
8,8,TRUE,TRUE,TRUE,TRUE
8,9,FALSE,FALSE,TRUE,TRUE
8,10,FALSE,FALSE,TRUE,TRUE
8,11,FALSE,FALSE,TRUE,TRUE
8,12,FALSE,FALSE,TRUE,TRUE
8,13,FALSE,TRUE,TRUE,TRUE
8,14,FALSE,FALSE,FALSE,TRUE
8,15,FALSE,FALSE,TRUE,TRUE
8,16,FALSE,FALSE,FALSE,TRUE
8,17,FALSE,FALSE,TRUE,TRUE
8,18,FALSE,FALSE,FALSE,TRUE
8,19,FALSE,FALSE,TRUE,TRUE
8,20,FALSE,FALSE,TRUE,TRUE
8,21,FALSE,FALSE,FALSE,TRUE
8,22,FALSE,FALSE,TRUE,TRUE
8,23,FALSE,FALSE,TRUE,TRUE
8,24,FALSE,FALSE,TRUE,TRUE
8,25,FALSE,TRUE,TRUE,TRUE
8,26,FALSE,FALSE,FALSE,TRUE
8,27,FALSE,FALSE,TRUE,TRUE
8,28,FALSE,TRUE,TRUE,TRUE
8,29,FALSE,FALSE,TRUE,TRUE
8,30,FALSE,FALSE,FALSE,TRUE
8,31,FALSE,FALSE,FALSE,TRUE
8,32,FALSE,FALSE,TRUE,TRUE
8,33,FALSE,FALSE,FALSE,TRUE
8,34,FALSE,FALSE,TRUE,TRUE
8,35,FALSE,FALSE,FALSE,TRUE
8,36,FALSE,FALSE,TRUE,TRUE
8,37,FALSE,FALSE,FALSE,TRUE
8,38,FALSE,FALSE,TRUE,TRUE
8,39,FALSE,FALSE,FALSE,TRUE
8,40,FALSE,FALSE,FALSE,TRUE
8,41,FALSE,FALSE,FALSE,TRUE
8,42,FALSE,FALSE,TRUE,TRUE
8,43,FALSE,FALSE,TRUE,TRUE
8,44,FALSE,FALSE,TRUE,TRUE
8,45,FALSE,FALSE,FALSE,TRUE
8,46,FALSE,FALSE,TRUE,TRUE
8,47,FALSE,FALSE,FALSE,TRUE
8,48,FALSE,FALSE,FALSE,TRUE
8,49,FALSE,FALSE,FALSE,TRUE
8,50,FALSE,FALSE,TRUE,TRUE
8,51,FALSE,FALSE,TRUE,TRUE
8,52,FALSE,FALSE,TRUE,TRUE
8,53,FALSE,FALSE,FALSE,TRUE
8,54,FALSE,FALSE,FALSE,TRUE
8,55,FALSE,FALSE,FALSE,TRUE
9,1,FALSE,FALSE,TRUE,TRUE
9,2,FALSE,FALSE,TRUE,TRUE
9,3,FALSE,FALSE,TRUE,TRUE
9,4,FALSE,FALSE,TRUE,TRUE
9,5,FALSE,FALSE,TRUE,TRUE
9,6,FALSE,FALSE,TRUE,TRUE
9,7,FALSE,FALSE,TRUE,TRUE
9,8,FALSE,FALSE,TRUE,TRUE
9,9,TRUE,TRUE,TRUE,TRUE
9,10,FALSE,FALSE,TRUE,TRUE
9,11,FALSE,TRUE,TRUE,TRUE
9,12,FALSE,FALSE,TRUE,TRUE
9,13,FALSE,FALSE,TRUE,TRUE
9,14,FALSE,FALSE,FALSE,TRUE
9,15,FALSE,FALSE,FALSE,TRUE
9,16,FALSE,FALSE,FALSE,TRUE
9,17,FALSE,FALSE,TRUE,TRUE
9,18,FALSE,FALSE,FALSE,TRUE
9,19,FALSE,FALSE,TRUE,TRUE
9,20,FALSE,FALSE,TRUE,TRUE
9,21,FALSE,FALSE,TRUE,TRUE
9,22,FALSE,FALSE,FALSE,TRUE
9,23,FALSE,TRUE,TRUE,TRUE
9,24,FALSE,FALSE,TRUE,TRUE
9,25,FALSE,FALSE,TRUE,TRUE
9,26,FALSE,FALSE,TRUE,TRUE
9,27,FALSE,FALSE,FALSE,TRUE
9,28,FALSE,FALSE,TRUE,TRUE
9,29,FALSE,TRUE,TRUE,TRUE
9,30,FALSE,FALSE,TRUE,TRUE
9,31,FALSE,FALSE,FALSE,TRUE
9,32,FALSE,FALSE,FALSE,TRUE
9,33,FALSE,FALSE,FALSE,TRUE
9,34,FALSE,FALSE,TRUE,TRUE
9,35,FALSE,FALSE,FALSE,TRUE
9,36,FALSE,FALSE,TRUE,TRUE
9,37,FALSE,FALSE,FALSE,TRUE
9,38,FALSE,FALSE,TRUE,TRUE
9,39,FALSE,FALSE,FALSE,TRUE
9,40,FALSE,FALSE,TRUE,TRUE
9,41,FALSE,FALSE,FALSE,TRUE
9,42,FALSE,FALSE,FALSE,TRUE
9,43,FALSE,FALSE,TRUE,TRUE
9,44,FALSE,FALSE,TRUE,TRUE
9,45,FALSE,FALSE,FALSE,TRUE
9,46,FALSE,FALSE,TRUE,TRUE
9,47,FALSE,FALSE,FALSE,TRUE
9,48,FALSE,FALSE,TRUE,TRUE
9,49,FALSE,FALSE,FALSE,TRUE
9,50,FALSE,FALSE,FALSE,TRUE
9,51,FALSE,FALSE,TRUE,TRUE
9,52,FALSE,FALSE,TRUE,TRUE
9,53,FALSE,FALSE,FALSE,TRUE
9,54,FALSE,FALSE,TRUE,TRUE
9,55,FALSE,FALSE,FALSE,TRUE
10,1,FALSE,FALSE,TRUE,TRUE
10,2,FALSE,FALSE,TRUE,TRUE
10,3,FALSE,FALSE,TRUE,TRUE
10,4,FALSE,FALSE,TRUE,TRUE
10,5,FALSE,FALSE,TRUE,TRUE
10,6,FALSE,FALSE,TRUE,TRUE
10,7,FALSE,TRUE,TRUE,TRUE
10,8,FALSE,FALSE,TRUE,TRUE
10,9,FALSE,FALSE,TRUE,TRUE
10,10,TRUE,TRUE,TRUE,TRUE
10,11,FALSE,FALSE,TRUE,TRUE
10,12,FALSE,FALSE,TRUE,TRUE
10,13,FALSE,FALSE,TRUE,TRUE
10,14,FALSE,FALSE,FALSE,TRUE
10,15,FALSE,FALSE,FALSE,TRUE
10,16,FALSE,FALSE,FALSE,TRUE
10,17,FALSE,FALSE,FALSE,TRUE
10,18,FALSE,FALSE,FALSE,TRUE
10,19,FALSE,FALSE,TRUE,TRUE
10,20,FALSE,FALSE,TRUE,TRUE
10,21,FALSE,FALSE,TRUE,TRUE
10,22,FALSE,FALSE,FALSE,TRUE
10,23,FALSE,FALSE,FALSE,TRUE
10,24,FALSE,TRUE,TRUE,TRUE
10,25,FALSE,FALSE,TRUE,TRUE
10,26,FALSE,FALSE,TRUE,TRUE
10,27,FALSE,TRUE,FALSE,TRUE
10,28,FALSE,FALSE,FALSE,TRUE
10,29,FALSE,FALSE,TRUE,TRUE
10,30,FALSE,FALSE,TRUE,TRUE
10,31,FALSE,FALSE,FALSE,TRUE
10,32,FALSE,FALSE,FALSE,TRUE
10,33,FALSE,FALSE,FALSE,TRUE
10,34,FALSE,FALSE,FALSE,TRUE
10,35,FALSE,FALSE,FALSE,TRUE
10,36,FALSE,FALSE,TRUE,TRUE
10,37,FALSE,FALSE,FALSE,TRUE
10,38,FALSE,FALSE,TRUE,TRUE
10,39,FALSE,FALSE,FALSE,TRUE
10,40,FALSE,FALSE,TRUE,TRUE
10,41,FALSE,FALSE,FALSE,TRUE
10,42,FALSE,FALSE,FALSE,TRUE
10,43,FALSE,FALSE,FALSE,TRUE
10,44,FALSE,FALSE,TRUE,TRUE
10,45,FALSE,FALSE,FALSE,TRUE
10,46,FALSE,FALSE,TRUE,TRUE
10,47,FALSE,FALSE,FALSE,TRUE
10,48,FALSE,FALSE,TRUE,TRUE
10,49,FALSE,FALSE,FALSE,TRUE
10,50,FALSE,FALSE,FALSE,TRUE
10,51,FALSE,FALSE,FALSE,TRUE
10,52,FALSE,FALSE,FALSE,TRUE
10,53,FALSE,FALSE,FALSE,TRUE
10,54,FALSE,FALSE,TRUE,TRUE
10,55,FALSE,FALSE,FALSE,TRUE
11,1,FALSE,FALSE,TRUE,TRUE
11,2,FALSE,FALSE,TRUE,TRUE
11,3,FALSE,FALSE,TRUE,TRUE
11,4,FALSE,FALSE,TRUE,TRUE
11,5,FALSE,FALSE,TRUE,TRUE
11,6,FALSE,FALSE,TRUE,TRUE
11,7,FALSE,FALSE,TRUE,TRUE
11,8,FALSE,FALSE,TRUE,TRUE
11,9,FALSE,TRUE,TRUE,TRUE
11,10,FALSE,FALSE,TRUE,TRUE
11,11,TRUE,TRUE,TRUE,TRUE
11,12,FALSE,FALSE,TRUE,TRUE
11,13,FALSE,FALSE,TRUE,TRUE
11,14,FALSE,FALSE,FALSE,TRUE
11,15,FALSE,FALSE,TRUE,TRUE
11,16,FALSE,FALSE,FALSE,TRUE
11,17,FALSE,FALSE,TRUE,TRUE
11,18,FALSE,FALSE,FALSE,TRUE
11,19,FALSE,FALSE,TRUE,TRUE
11,20,FALSE,FALSE,FALSE,TRUE
11,21,FALSE,FALSE,FALSE,TRUE
11,22,FALSE,FALSE,TRUE,TRUE
11,23,FALSE,FALSE,TRUE,TRUE
11,24,FALSE,FALSE,TRUE,FALSE
11,25,FALSE,FALSE,FALSE,TRUE
11,26,FALSE,FALSE,FALSE,TRUE
11,27,FALSE,FALSE,TRUE,TRUE
11,28,FALSE,FALSE,TRUE,TRUE
11,29,FALSE,TRUE,TRUE,TRUE
11,30,FALSE,FALSE,TRUE,TRUE
11,31,FALSE,FALSE,FALSE,TRUE
